URL,Código de Respuesta
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3825194,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3825194,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3825194,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3825194,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3825194,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3825194,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3995741,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3995741,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3995741,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3995782,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3995782,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/3995782,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4134753,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4134975,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4134975,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137770,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137770,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137770,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137791,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137791,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137791,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137791,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137840,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137840,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137840,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4137840,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4148664,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4148664,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4148664,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4148664,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4156178,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4156178,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4232028,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4232028,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4253155,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4253155,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4253155,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4270317,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346012,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346012,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346012,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346014,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346014,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346025,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346025,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346394,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346394,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346385,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346385,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346385,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346384,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4346384,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360020,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360020,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360021,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360021,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360021,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360023,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360023,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360023,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360023,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360021,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4360020,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4472420,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4472421,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4501736,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4501736,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4501736,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520344,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520344,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520344,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520591,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520591,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520225,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4520225,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4528275,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4621896,500
https://algoliabycarlos--siman.myvtex.com/_v/catalog/4621896,500
